123051033 56429
Q 358933575 442582248
H 288136827 1092351327
H 677091462 770469657
H 143437014 211720669
Q 4199200 17369192
H 107461592 211840088
H 450255030 692688767
H 451885632 772376968
Q 621353421 806218245
H 613086644 833254277
H 372217080 607773492
H 226667070 296309790
Q 324067814 339353570
H 198889760 456155015
Q 192732792 448729008
Q 19123566 69970816
H 235570973 777746497
H 58129200 202085718
H 346633833 513009513
Q 59653860 193276960
H 367862368 381532024
Q 642849196 744506668
Q 355401570 395363568
H 217671765 766778361
H 480673773 1525901832
H 53135189 253542515
Q 602733734 675913958
H 884945300 1465366824
H 412238337 492153101
H 125372080 613534492
H 53585847 61658583
H 211956460 753402821
H 233129238 397305930
H 684641558 725653594
H 64989915 498733615
H 499300739 1005390059
H 127929318 449764278
H 544550 680997323
H 754655400 867103680
H 472840123 503945335
H 134098740 228344573
Q 55734572 169486540
H 15461536 53172382
H 176744802 279448682
H 612906156 807081761
Q 5723536 746189584
Q 263691526 460931238
Q 21038095 146046967
Q 31489465 455284753
H 410894910 666578332
Q 338713272 355504836
Q 65361087 76386793
Q 446775640 496162796
Q 94110588 203347688
Q 82416510 195891718
H 280199730 329030742
H 9907101 138629695
H 686875904 805435424
H 614991300 752999226
H 529012756 674988996
H 849557688 875783622
H 313035673 577651913
Q 407094480 934516001
H 156242118 267120210
H 12248345 93644816
H 761427351 1519105629
H 139880338 451012536
H 6890478 59184258
Q 34608287 89166085
H 119036040 369689786
H 214774479 752070831
H 613875270 1117965186
H 129487668 175023668
H 308150240 900994820
H 128010066 314017494
H 839334 125495769
Q 174804718 186405560
H 507674292 731897780
H 189666998 332826014
Q 368576228 554946260
Q 255632090 913268118
Q 116310930 488636508
Q 28674852 32077614
Q 14671380 55286130
Q 11082828 186392073
Q 202461816 919165224
Q 12200756 321564886
H 389642184 673646472
H 243962040 470867880
H 27765650 666180722
Q 203002754 403772675
H 63790923 141195420
Q 135401030 394786921
Q 51280772 79894764
Q 267058120 475375372
H 488828658 549393670
H 6227100 70398765
Q 407195940 899999334
H 31726029 594385564
H 99142725 334313573
H 378845000 516561704
Q 504040328 610392464
Q 165803614 495501202
H 1076130 264505266
Q 11992255 338787295
H 1584994 65412956
Q 87292652 219821547
Q 21349488 661419039
Q 46774800 186780586
Q 99224472 240884556
H 25716532 657991460
H 263718504 304729320
H 1031675654 1970600722
Q 191095736 358213736
H 261321234 694003492
H 4968957 420557757
H 883776960 1327428483
H 81052000 307764636
H 57623680 985279908
H 67614910 393324646
Q 333132540 365402492
H 29480840 237719807
H 182246856 796794306
H 38193540 648515343
H 378478790 835099040
Q 520987824 1172624701
Q 1049448 145407046
H 292157642 330693194
H 2026934 273735215
Q 16024479 70934821
H 126530370 254418949
H 156082808 256017104
H 26585832 196282600
H 787837430 1257547788
Q 792686976 951941424
H 243840832 328921492
H 846328665 1243506041
H 356477352 376924023
H 39774240 49085553
Q 186214056 801589616
Q 232138764 323766828
H 339627546 409922586
H 83709799 341694103
Q 469531524 634947969
Q 413288586 456961314
H 418299744 1257185260
H 228265128 845218278
H 72599772 84162072
Q 18197799 150472683
H 42792354 130953929
H 146922774 209127774
H 261837043 445896754
H 89566960 110855936
H 95561840 117930144
H 61678160 153910544
H 16130688 537670371
H 43251978 292954422
H 116997060 149240516
Q 98340032 316892432
H 146180148 406712820
H 59676160 665877130
H 2413454 33654482
H 646532772 790707510
H 170618352 374528233
H 536552556 919903315
H 673644 640591269
H 465118236 798574788
H 381828993 823690161
H 449785710 655320150
H 416826222 952196148
H 216985940 647560790
H 95269020 259205194
H 5926663 251246913
Q 360240738 860818488
H 483085306 704492650
H 42349032 520518001
Q 9026748 312579948
H 48628468 464534233
Q 888713004 1273968828
Q 62300922 229490685
H 482531256 486523392
H 742464744 1050561309
H 120860091 128879541
Q 260605035 302223159
H 33729552 35031204
H 290358684 383344308
H 76616204 167272274
Q 337749041 661928241
H 53401854 79992384
Q 131808404 208251500
H 345949852 1188293605
H 53174052 451738442
H 19810728 104616968
H 434703386 1143580022
H 300650768 332106762
H 100127620 402855422
Q 60233420 610828778
H 24338616 54040248
Q 35446072 192717867
H 30024990 244407264
H 230529652 829051591
H 109472488 114573864
H 84842486 575008235
H 113964395 353527979
Q 616300749 793548495
Q 16072394 710485724
H 551627442 1252088692
H 56447076 246200456
H 364867815 892000795
H 49997584 98559240
Q 110127392 162009722
Q 39302736 660401808
H 45726450 171046906
Q 777142782 800028436
H 117286728 804994848
H 191691566 241862966
H 129105200 591947580
H 613301000 843065738
H 168316668 173758708
Q 73512744 322340158
Q 264325227 810397866
Q 86254464 190310988
H 405433056 654766522
H 132986940 294674494
Q 110593986 369128836
H 19582102 407229469
H 129539048 262843660
Q 226916350 532095406
H 190001728 295782920
H 830711331 1211197311
H 372062997 647972161
Q 31911448 428103374
H 9223662 391542512
Q 378914514 1005029718
H 602697372 972573724
H 79522466 400751896
H 584740998 586205226
H 348340202 417806064
H 40767304 202080724
Q 158035906 394889800
Q 58738656 271668370
H 183260504 484869396
Q 484647830 517076695
Q 690323580 1394098190
H 242987146 502585282
Q 87370500 474626250
H 342226620 364851480
Q 91305400 256412068
Q 314542144 827865304
Q 88243870 161710114
Q 227586604 499792669
H 509805884 667432061
H 592876550 725111984
Q 47997882 298246356
H 298664850 978197170
H 212026221 304618630
H 27927580 711089105
H 68329573 428763583
H 6417750 230109300
Q 125945528 405602447
Q 271946739 367559799
Q 218394684 329756125
H 173522349 378659869
H 17478636 157731511
H 588342265 1101221595
Q 394325535 625156275
H 147601860 816747587
Q 758130817 758257787
Q 53468808 225055440
H 186565540 808893400
H 52313152 69697152
Q 100553283 188486211
H 269313520 278479270
H 668676778 1110020770
H 215015318 715345073
Q 64448230 111688230
Q 30714910 36827014
Q 824838336 897802640
H 142073052 586777816
Q 275848550 1078198826
H 105531920 168480260
Q 335713644 450828192
H 631943494 927530246
H 380061300 528653289
H 8869710 624716670
H 79026912 229511886
H 346530550 365945195
Q 229494 73526694
Q 147844000 577567735
H 397495950 702243798
H 633411797 636312597
H 14933776 15683122
H 417277391 700820133
H 34575156 104222629
H 22177358 240330650
H 23980437 89037121
H 355168224 593249364
H 190381015 244022425
H 393099399 1210421736
H 668431932 1517678691
Q 305671212 600128532
H 31023300 266493300
H 194428450 313917556
H 146030196 301187264
H 115733800 135040520
H 263378412 791718296
H 73738154 266129114
H 605975273 769561037
H 235684289 527229761
Q 260650306 771186826
Q 136153980 589479548
H 7562216 530416613
H 37157036 135592230
H 201864891 450286395
Q 27895595 487267623
Q 83930840 372209496
H 50704365 982061503
Q 70989442 196811684
H 261336403 339938969
H 229066768 395335768
H 44152486 161354656
H 291747390 990702176
Q 457413705 651412482
H 322515648 386376114
Q 37734984 745160610
H 51990940 867248878
Q 40404546 670706154
H 17201004 308649890
H 17902014 105457310
H 339547125 444499451
Q 426410811 966372849
Q 142089479 777820274
H 10609134 16356681
Q 223978688 348495710
H 308224840 551664582
H 147011400 355130134
H 11965341 513810657
H 35628672 80275374
H 190504160 223769450
Q 290035361 751104992
H 62602248 120162760
H 248157756 661961396
H 115960676 394747246
H 621204444 720130176
Q 251900944 622370319
H 15371172 92751111
H 53091567 70085271
H 1007765955 1374268839
Q 51698250 559666387
Q 430345825 545221901
Q 200911893 289194549
H 211393805 525239930
H 127428864 262579362
H 566989500 600277300
H 131499315 232042131
H 25503920 419614388
H 840625932 965147872
H 303400000 1042257484
Q 171880709 544239421
H 346877622 395038617
H 965755700 999211508
H 358651164 408888043
H 139424166 219929916
Q 158028822 184192200
H 234677165 235580080
H 25039374 535594958
H 192495744 249342312
H 446082240 531602832
H 137241000 220098654
H 463789050 1210387595
H 693501952 775099408
H 5125841 242374985
H 432297861 479331109
Q 113231457 576196091
H 362747236 410122327
H 194819016 244124756
H 30888000 393310476
Q 620075859 814330419
Q 289531220 570448780
H 670977606 678193350
H 215399520 786729340
H 40463892 52111584
Q 811429944 977068794
H 623397543 623951043
H 609833964 614737674
H 227649800 576328448
H 94565100 180384944
H 23214345 27694425
H 236508460 629545020
Q 294103440 305761856
H 63525811 238582030
H 63673464 422401950
H 345206245 406858003
Q 639654240 1225022280
Q 443560 326352040
H 69334690 122920732
H 9993750 389732694
H 117138780 791740215
H 66582813 1118102919
H 284294241 704291031
Q 347469067 376036827
H 394802360 452519604
H 96404238 601023726
H 246883362 576859554
Q 22790027 440717377
Q 663031050 1303682550
H 358699238 1112552758
H 7808814 122692167
H 67052480 265696742
H 652479300 976944870
H 63387762 311624304
H 353171118 426600192
H 77369516 78350006
Q 224876384 1032196679
Q 177948362 1006640600
Q 85872501 196561233
H 118699790 313530740
H 437233880 827392894
H 245917000 267287478
Q 243866049 1013760825
H 92288374 844870420
H 290160376 1099921637
H 444469440 729247101
H 464275756 752477996
H 100908396 436907871
H 299253819 466496394
H 337829425 1017124613
H 472337514 552165562
H 111316336 477688072
H 49536573 201816997
Q 40067811 437277503
H 247713193 743174248
H 729850947 1347707197
Q 5016384 411354278
Q 302098889 308330537
Q 493254920 555004508
H 376449626 688498376
Q 301236300 712809381
Q 791373240 1312386428
Q 501915191 1218876983
H 235213020 1011029832
H 1723375 129065605
H 446032643 899559911
H 357966032 667414622
H 33854756 219214346
H 856012608 1218569868
H 679796221 696866581
Q 288562035 1142353277
H 716076998 1385666334
H 658513348 914523517
H 242155595 392003835
H 15492312 222593206
H 522251604 752866889
H 41324700 437695446
Q 503693757 1002012552
H 597374986 1018170088
H 142516374 151244944
Q 637342788 760514720
Q 472863706 483320178
H 46192534 112761882
Q 84181926 364093326
H 123529735 199998511
H 198755388 250105344
H 194112630 749174445
H 333707232 539077754
H 203650188 288647180
H 139355720 193969565
Q 47291218 286770527
H 131745120 285525775
Q 89395394 619187790
Q 183640470 651280916
H 431103564 470276523
H 240730266 426753246
Q 186374589 243071520
Q 36454997 489267962
H 93064116 396338787
H 673104564 753439574
Q 290744319 291340707
Q 80142606 126200998
H 889977348 947671395
H 184310010 184856058
H 172512861 543557757
Q 347595056 521070233
Q 103039620 922405740
H 587692749 595487127
Q 234556179 505327405
H 780027864 1344848146
H 148798440 175349403
H 519266696 584211208
H 12431064 609378868
Q 483161112 590040290
Q 17042478 61085925
H 199634970 209661699
Q 20409491 481479681
H 128525584 382806928
H 721615447 857986132
H 200804932 658043428
Q 10773840 130642575
H 168818160 273690502
H 355685310 489770222
Q 257669678 313633424
H 9455249 411766097
H 598394931 748654627
H 562530451 621594869
Q 192540951 558125181
H 953698588 1091358628
H 58245863 327421588
Q 69946530 340904021
H 493371840 1036424306
H 424673260 570693900
H 252233606 510515082
H 782352522 973980024
Q 303798788 1271586438
Q 201569352 374440206
H 146534050 286501240
Q 74979630 747292621
Q 484162224 497623713
H 238293135 637735510
Q 682486700 973293860
H 8017990 38461312
Q 36775053 517154568
H 91452078 116545455
H 96118798 213121456
H 217849114 645536692
Q 682634520 683014339
H 28444482 29134418
H 67102462 298822712
H 338497016 343305092
H 206985534 224465332
H 175702300 321139852
H 113853379 324291091
Q 472898867 820291227
H 58681008 193703640
Q 268967727 583884168
Q 161425178 231366133
H 408127679 658074662
H 56810988 205741245
H 57756370 692901202
H 226509848 784307303
Q 260124108 615080778
H 74429932 783054344
H 71040924 218441804
H 761234413 1460811478
Q 63067680 603660684
Q 431041856 1033763558
H 457076412 469482956
Q 91302592 320233283
Q 434251343 786473390
H 614961182 777711908
H 223655680 382709146
H 490211696 1423107992
Q 632872368 1629092172
H 424287325 932444678
H 685198635 689543794
H 362135688 500135044
H 695477308 774789065
H 752086725 1266862285
H 243451305 580509825
H 89454850 334975020
H 17398557 307729887
Q 138033200 158857597
Q 567046590 929933290
H 808794 89609474
Q 76565650 347482338
H 39008223 265981530
Q 188916695 462075056
H 689325480 1249634967
Q 85340388 228642492
Q 332966040 377008935
H 285984438 413492598
Q 862295984 909730712
H 10496562 241418034
H 629007977 837660301
H 104687180 408499010
Q 723371680 948276815
H 112462824 264281978
Q 321179670 397704106
H 36582184 41965564
Q 1345920 5762431
H 134183658 836937176
Q 167291745 694665625
Q 347060810 495707357
Q 75793740 254422036
Q 245100702 290647162
H 1789918 26532257
H 724435575 747724379
Q 115230720 203728080
H 219721472 525057995
Q 65988188 576700208
H 476914848 1197059115
Q 760172314 965631509
H 15103662 789908215
H 381380779 709323562
H 454501014 476359550
H 38862918 297576338
Q 139900696 382554244
H 341195114 1120914544
Q 713935250 1498960862
H 281506666 389109802
Q 286958784 841233739
Q 345463763 437028383
H 675683547 681847862
H 119290344 696044840
H 450985380 721701130
H 540692600 600954520
H 348880896 416681342
H 28154632 190575382
Q 401770584 492501444
Q 553642476 1279738416
Q 2402816 213379008
Q 380269116 534497442
Q 232299760 299994742
H 402257150 663958238
H 293382128 927529522
H 93745776 116171517
Q 35371280 423202825
H 570262278 1054630398
H 361897725 379994625
Q 293794724 629698244
H 539423335 1016382036
Q 80841849 163061599
Q 68510001 177316859
H 5168695 125868827
H 127437708 455967756
H 89082431 104690144
Q 93800816 138370400
H 402086244 637852439
Q 9918888 64838016
H 181991147 214034339
H 453793260 487638435
Q 350042495 941221435
Q 473265533 526484831
H 94229385 212112447
H 151973766 465854722
Q 49678992 201294610
H 767665488 819494912
Q 8107568 555832690
H 77018035 316249510
H 144972804 1040878113
Q 71389650 71789082
Q 82736675 404128721
H 539896909 630578227
Q 804814353 1432917833
H 201885880 363383672
H 69922736 218536820
H 116128852 354783840
Q 66181050 656081634
H 148021734 245731138
H 306194080 1180686766
Q 104026700 160219855
Q 623018126 1072937366
H 49544970 178431858
H 632932153 777825499
H 713932218 961173387
H 114177384 248546621
Q 385737168 1137693234
Q 257848640 289361590
H 101205192 115313997
H 469120977 614468166
Q 350795120 447553250
H 143539375 235543405
Q 107193009 403776214
H 41179866 533702598
H 39927205 117109129
H 198113820 209134146
H 560489379 1276475283
Q 263607575 308956071
H 35627436 643708948
Q 328137045 430812781
H 57893400 398948790
H 5497856 63303973
Q 80887735 342012360
H 238549700 806758833
Q 142399000 749330375
Q 13811424 240386766
H 11309172 759326340
Q 175006806 652935426
H 691285585 910164418
H 217871360 337450690
Q 50861212 143888272
Q 951371136 1313222868
Q 226332996 848996697
H 660097024 662503375
H 94852534 144201544
Q 34636603 388939579
Q 2697801 87237199
H 29222955 639800545
H 4531788 113384156
Q 126807995 247145017
H 151597108 230807848
H 285337206 289733750
H 28244406 659457371
H 39076086 172649478
Q 174864924 189125982
H 252312200 353948354
H 110012100 125492474
Q 323241867 393983055
H 16792260 307877112
H 2394092 438334844
Q 261686595 475232270
H 256860764 285818636
Q 625469130 1093494450
H 310337328 418488756
H 390953663 867181523
H 200027975 385160270
Q 943454940 1567116836
Q 175842576 470528396
H 870596630 1254588854
H 349971684 421053028
H 445616743 468098293
H 249173134 345095284
H 409458090 515921392
H 224166358 258498238
H 282243950 391235382
Q 765809120 1382279240
Q 36038905 156133605
H 262905800 995935592
Q 164019789 357054309
H 313400229 556106349
Q 28070315 54156635
H 21495460 64775080
Q 177039648 190495512
Q 377775838 581832255
H 110041752 153070626
H 525041460 561729121
H 61037388 378045858
H 565891562 736280669
H 144431946 201082536
H 624104 81341904
H 102686668 701831516
H 402142460 592080332
H 97196433 514657617
H 297532466 375739826
H 303387096 350573592
H 7901064 168347746
H 29697200 535185196
Q 221104950 591647134
Q 683265 41756955
Q 158331375 324363315
Q 266945094 347952225
H 10275617 437681057
H 381160587 675687643
H 60723791 371269996
H 225905211 637026807
Q 742881419 820360154
Q 762738951 782607533
H 22564928 151042760
H 217278990 747744915
H 189338580 779310807
Q 61807200 108661788
Q 163333665 425186013
Q 674729700 1239698832
H 625026121 968866377
Q 52547529 235586379
H 23196988 39354400
H 133478695 235543591
H 323749440 762366016
H 31590520 152987253
H 61442145 112459366
Q 7590528 14540208
H 612346182 919117958
H 243138063 390829945
H 737069781 944648390
Q 588184608 608280184
Q 475989328 896415724
H 424279528 710706253
H 204179110 569920006
Q 19287774 286424280
Q 925790936 1384607276
Q 78933680 100757224
H 383753146 570587946
H 611894127 857278542
H 149768640 533238552
H 293148974 506684738
Q 80404762 321206180
H 124305174 1012852056
H 516726425 1026385817
H 117166638 235941550
H 518461797 733685575
H 851348768 854087729
Q 246907776 898357694
H 317639019 996817395
H 871839081 1053875975
H 86006482 91456402
H 103660960 366363260
H 274336469 422127376
Q 447328472 681739484
H 816437844 911667711
Q 437715350 475219220
H 452818120 786144080
H 141682300 273242431
H 495694632 632630434
H 674480681 677719191
Q 31325932 950021457
H 427595760 465486006
H 466558680 766146150
H 185792832 226640223
Q 112512532 720897282
H 216623419 230093713
H 331305380 367343758
Q 45874095 243586725
Q 57984600 829481874
H 646144560 1070857323
H 259288920 813077100
H 338084533 737268193
H 322085655 365249993
H 877545900 1203434604
H 168579008 357212992
H 197546070 437000814
H 675139518 736756290
H 72432864 1113174027
Q 87762890 185274754
Q 852728580 888946542
H 477182272 718480136
Q 422534931 900669291
Q 512283800 584044400
Q 217788088 304484936
H 69072144 254289609
H 577772575 647790655
H 46943064 85570488
H 530625760 770135722
H 199771040 205037120
H 14378637 467852438
H 545670476 818341908
H 29576988 255906983
H 167896366 225266963
H 29939481 115511323
Q 115406604 204566764
H 860704733 938347273
H 561847195 572539918
Q 138455784 647092584
Q 382724434 794262052
H 7600916 358754133
Q 316006614 334147074
Q 66539745 223417681
Q 292961199 489917679
Q 42866928 90164864
H 150513484 1053071996
Q 24890000 401387072
Q 126663792 362617310
H 44356200 431323465
Q 279394182 282656100
H 87522892 325890016
H 222717432 682613323
H 497651880 1336041036
H 542057415 717508139
H 304077812 1268667404
H 124520 697585076
H 316016434 730250709
Q 4862928 167809192
H 326525920 334049828
H 181547300 620844470
Q 417122922 489545649
H 119187536 932368286
H 330710430 399825007
Q 491595286 511307122
H 491427590 782211814
H 11887624 61264048
H 219407140 800855667
Q 181689920 396374308
H 70219644 166329112
H 188878025 499759940
Q 4995904 247065872
H 161848920 179107450
H 48913551 122584932
H 1947648 183106948
Q 312889960 344676400
H 98032872 145863477
H 33063744 759657216
Q 13110900 36718642
H 284666550 485712610
H 400928952 701232568
H 699032925 728299829
H 186810336 204316264
H 33080949 751065801
H 190777903 461266821
Q 165853494 447639174
Q 740606988 779832678
H 98385144 195896792
H 339462760 359241079
Q 396216072 680557822
H 429387900 851856304
H 752797107 757489209
Q 30838396 489148306
H 3340692 129731392
H 335857131 378214987
H 75874110 95985375
H 64111278 466451915
H 325499310 360566405
H 232087710 689674658
Q 345983430 1264742622
H 548780562 824809392
H 936902417 1151923069
H 76701246 292890076
H 161188902 277018310
H 151943550 713992296
H 265495737 663500112
H 227439500 518517053
Q 28734061 216476785
H 375013098 1158011522
H 465092622 715689774
Q 76947480 184703126
H 123546409 409030289
H 577024194 670262514
H 17082 540880944
H 6256832 72811832
Q 810488240 1268062588
H 522664428 820358215
H 83320410 184430234
Q 732564534 1079958174
H 373332324 540466255
Q 22035794 898769093
H 714481380 1457620182
H 65008359 241165507
H 267087527 567146357
H 99896502 696255174
H 45848835 87240245
Q 649257648 1063900188
Q 213649524 260815400
H 659297444 923066402
Q 291445048 313617343
Q 236697663 959910517
Q 222890780 573070412
H 622234176 721757391
H 489865840 777395956
H 46759744 1046137321
H 174695196 498198196
H 231148170 678529146
H 37007569 38016037
Q 494788726 701527484
Q 827192220 931271523
H 376270225 1149228616
H 370858415 621526063
Q 693315570 736872120
H 36922767 154164373
H 5773054 69336785
Q 245058000 585907464
H 575975694 738555774
Q 242555976 353851236
Q 378853464 754277364
Q 264872370 752439198
Q 521847312 742601472
H 102051323 443379905
H 443149727 828902276
H 154113600 796181467
H 461567770 596751382
H 145254720 470632035
Q 420030910 566806488
H 57064700 198564557
Q 58476474 203056518
H 220469712 227811974
Q 209845610 549896570
H 61234734 66613356
Q 2697624 444786356
H 14218734 543596016
H 42619542 174483561
Q 673904 69565480
H 795635785 984466119
H 44464266 62845778
H 131931163 164948938
H 80618353 139793235
H 22528689 103909819
H 485940119 899665919
H 529157826 699755946
H 1054019064 1393075218
Q 181146186 659907567
H 98892360 106247916
Q 197892078 1177790616
H 67728474 244708212
H 57059600 90271520
H 576423596 829278878
H 39344250 462826498
H 74110769 112133633
H 25129440 348162124
Q 617721296 1178953229
H 611859207 713182303
H 35616591 234958327
Q 44311952 667467216
H 19102213 61980163
Q 83414993 85277860
H 83092310 87269462
H 33897332 547024138
H 256315020 596122376
H 109531591 182288296
Q 432896380 866779006
Q 66618645 148322485
H 354140640 1027543376
H 111056805 799336323
Q 268194308 292929394
H 150313955 537558092
H 27659214 62887554
H 28189080 112077256
Q 170102790 568932606
H 910671045 966558805
Q 833231637 1093871205
Q 290173800 376421910
H 163194084 299146626
H 499856000 737520692
Q 33889470 233586646
H 157539570 162275814
Q 239640801 575417991
H 24990976 195797624
Q 161920164 243533858
Q 35006418 157743978
Q 980640780 1130812284
H 541236318 705893958
H 261831518 506439518
H 403905040 814932996
Q 99029376 474673176
H 54119280 143304168
H 10246854 411988726
Q 18929295 20300211
H 643366088 647555383
Q 433711476 611022288
Q 463520946 513843926
H 206423958 384079489
H 244545966 318170691
H 193405737 567859593
H 9630820 225030481
H 208164621 343331787
Q 49287719 287183179
Q 324791298 404037233
H 8837161 16201513
Q 661071579 663131253
Q 417463640 1107090032
H 585606224 1121469767
H 951664590 999540170
Q 593281640 606811487
Q 49788132 414638528
H 440998757 924810890
H 502768400 520565882
H 254882564 1172743676
H 181332749 199234661
Q 399415632 599240873
H 237075674 278542010
H 145061630 185139130
H 244055075 388249884
H 252645731 372808214
Q 212831311 497796897
H 122366493 129340348
H 28218267 57926340
H 168526124 534226124
H 81447900 286920776
H 5907258 178489668
H 286570032 870996732
H 13253622 69257570
Q 30890818 276614690
Q 218272868 470244845
Q 327644262 435355628
H 49247727 113729677
Q 441062882 568150826
Q 63472212 229728837
Q 220310616 333213822
H 65543256 579121281
H 65511986 279556284
H 331200627 790338403
H 361318552 612612552
H 144049914 444048274
H 378477330 400247949
H 246534435 325559331
Q 274988768 422011168
Q 40317332 187599962
Q 96075104 127996399
H 7476975 12235587
H 752259228 965936268
Q 87646468 485296501
H 821057773 1246742753
H 498082862 643245300
H 13438386 556950022
H 67021875 241138275
H 9435720 89458780
Q 153288850 335873558
Q 771668700 1042514688
H 251725050 279088850
H 495817155 763560291
Q 390039720 572568392
Q 726460160 876973724
H 200345994 220897314
H 26140968 97481266
Q 92521196 501434436
H 255707070 411661618
H 51483250 87449194
Q 551832120 578237226
H 28143288 104422320
H 129890124 200738110
H 3344601 166898936
Q 95297556 144742800
H 85264756 471864436
H 355079350 388083942
H 376451187 1174977702
H 326773908 1008959049
H 364675645 650726845
Q 74752168 418078360
H 21794445 155494789
H 278111304 680070574
H 370061804 973925624
Q 74102268 420947788
Q 220874753 582868073
H 2447268 235793769
H 948015085 1115097133
H 102389100 168671508
Q 221329108 227047492
H 374713975 771153205
H 6596200 101351680
Q 59248849 132756600
H 317704968 335727864
Q 232325796 256803522
H 295118336 475057870
Q 3043040 262766840
H 145825646 421095046
H 79707192 500770842
Q 19375806 439764636
H 226979466 572854650
Q 244334727 614063568
H 25608930 28410484
H 514313130 644547385
H 24228738 206068766
H 176696836 350965492
H 66588760 81565579
H 341290284 843478773
H 166836447 715661577
H 46280000 216964354
Q 476229468 673550004
H 147578472 258251454
Q 21205331 373232843
H 218029500 626625436
H 304811100 1137633696
H 549962936 638737332
H 323877270 663475942
H 88946676 718114896
H 252120681 395097897
H 25539375 498179715
Q 121884152 123183362
H 5044242 470714090
H 594968052 771218292
Q 380748288 600509698
Q 61219828 499478672
Q 417660767 682160793
H 32013042 33598098
H 300224590 681121725
Q 148212064 219669232
Q 330770020 1061487490
Q 100414728 210805528
Q 426323586 719188413
Q 814588144 1376750113
Q 16569075 392419539
H 607641696 627002490
H 69386328 303367078
H 71094036 956127406
H 68698400 121811760
H 15049160 32334292
Q 126453265 342948649
H 361654056 422567315
Q 139882068 320832004
Q 24147705 723528945
H 294295074 515834314
H 296826360 470383304
H 125962605 219691653
Q 493550631 520233021
Q 60212516 343794974
H 3789312 5271074
H 57239324 355153563
H 36213621 406300085
H 31013586 481920024
Q 56865595 176557861
H 74388804 448399792
H 232769110 386015322
H 231256083 799121346
Q 154263576 609706528
H 383497425 834756478
Q 560479416 1101906456
Q 440707940 634034322
Q 649253591 777671091
H 186735560 962318060
H 191362908 294150684
H 308943648 1237257758
H 237657088 471399268
H 420087883 595771480
H 173621394 787027226
Q 111684747 418872429
Q 74679248 138593167
H 8848216 191402461
Q 433211016 817487104
Q 17192217 494254243
Q 670571856 867132108
H 60089850 787356295
H 497296835 615094710
H 244745088 279227222
H 77271120 743776989
H 50470992 219397560
Q 241254156 483363856
Q 184766513 819765303
H 83685063 121962753
H 49784181 104135749
H 337926875 558371779
Q 6606600 142098184
H 1456268 98881038
H 643946414 1174994420
H 352659 398643015
H 190919988 230711963
Q 64766436 785368584
H 66024840 166457128
H 706661424 824400662
H 13017085 108017701
Q 315432110 363913785
Q 318486352 762623682
H 872701375 973136155
H 9501390 243844638
Q 1174212 125772705
H 633601237 638264632
H 676894752 713441010
H 47988846 366943556
H 49875372 510155426
H 273929850 821717424
